Name,Start Date,Role,Role Level,Vendor,Product,Prod Start Date,Prod End Date,resource product start date,resource product end date,Prod Build Location,Anchor,Work Intake Scoping,Interviewer,Security Maven,Accessibility,DevSecOps,Education Track,Location,E/C,Color (Y/N),Gender,Available for Other areas,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5
Resource 2,11/29/17,Engr,Senior,,Product 1,01/04/21,12/24/21,01/04/21,12/24/21,IL,,,,,,,,IL,E,N,M,Y,,Cloud ,,,
Resource 3,01/01/18,Engr,Senior,,Product 2,01/24/21,12/24/21,01/24/21,12/24/21,AZ,Y,,Y,,,,,IL,E,Y,M,N,Legacy Java,Cloud ,IBM/Websphere,Angular,
Resource 6,01/08/18,Engr,Senior,,Product 3,01/31/21,12/24/21,01/31/21,12/17/21,IL,,,,,,,,IL,E,N,M,Y,.NET,Cloud ,,,
Resource 7,01/08/18,Engr,Senior,,Product 4,02/07/21,05/21/21,02/07/21,05/21/21,IL,Y,,,,,,,IL,E,Y,F,Y,.NET,Cloud ,,,
Resource 8,01/08/18,Engr ,Senior,,Product 5,02/21/21,12/03/21,02/21/21,12/03/21,AZ,,,,,,,,IL,E,N,M,,,,,,
Resource 9,01/22/18,Engr,Senior,,Product 6,02/28/21,12/17/21,02/28/21,12/17/21,AZ,,,Y,Y,,,,IL,E,Y,M,Y,.NET,Cloud ,,,
Resource 10,01/29/18,Engr,Senior,,Product 7,03/14/21,11/19/21,03/14/21,11/19/21,IL,,,,,,,,IL,E,N,M,Y,.NET,Cloud ,,,
Resource 11,02/26/18,Engr,Senior,,Product 8,03/28/21,12/24/21,03/28/21,12/24/21,TX,Y,,Y,,Y,,,IL,E,N,M,Y,Mainframe,Cloud ,,,
Resource 13,03/05/18,Engr,Senior,,Product 9,04/05/21,12/31/21,04/05/21,12/31/21,IL,Y,,,,,Y,,IL,E,N,M,N,,,,,
Resource 14,03/05/18,Engr,Senior,,Product 10,02/12/21,12/24/21,02/26/21,12/24/21,AZ,,,Y,,,,,IL,E,Y,M,Y,Legacy Java,Cloud ,IBM/Websphere,,
Resource 15,03/05/18,PM,,,Product 4,02/07/21,05/21/21,02/07/21,05/21/21,IL,,,,,,,,IL,E,Y,M,N,,,,,
Resource 16,03/12/18,Engr,Senior,,Product 11,03/01/21,10/29/21,03/01/21,10/29/21,TX,Y,,Y,,,,,IL,E,Y,M,Y,Legacy Java,Cloud ,SiteMinder,,
Resource 17,03/19/18,PM,,,Product 5,02/21/21,12/03/21,02/21/21,12/03/21,AZ,,,,,,,,IL,E,N,M,,,Cloud ,,,
Resource 18,04/02/18,Engr,Senior,,Product 12,03/01/21,10/29/21,03/01/21,10/29/21,IL,Y,,,,,,Y,IL,E,Y,F,N,Legacy Java,Cloud ,IBM/Websphere,Angular,
Resource 20,04/09/18,PM,,,Product 6,02/28/21,12/17/21,02/28/21,12/17/21,AZ,,,,,,,,IL,E,N,F,,.NET,Cloud ,,,
Resource 21,04/09/18,UX,,,Product 1,01/04/21,12/24/21,01/04/21,12/24/21,IL,,,,,,,,IL,E,N,F,,.NET,Cloud ,,,
Resource 22,04/16/18,UX,,,Product 2,01/24/21,12/24/21,01/24/21,12/24/21,AZ,,,,,,,,IL,E,Y,F,,,,,,
Resource 23,04/23/18,Engr,Senior,,Product 13,03/08/21,12/24/21,03/08/21,12/24/21,IL,Y,,Y,,,,,IL,E,Y,M,N,.NET,Cloud ,,,
Resource 24,07/09/18,Engr,Senior,,Product 14,03/15/21,,03/15/21,,AZ,Y,,Y,Y,,,,IL,E,Y,M,N,.NET,Cloud ,,,
Resource 25,07/09/18,UX,,,Product 3,01/31/21,12/24/21,01/31/21,12/17/21,IL,,,,,,,,IL,E,Y,M,,Mainframe,Cloud ,,,
Resource 26,07/16/18,Engr,Senior,,Product 15,03/22/21,09/24/21,03/22/21,09/24/21,TX,Y,,Y,,,,,IL,E,N,M,N,,,,,
Resource 27,07/16/18,PM,,,Product 7,03/14/21,11/19/21,03/14/21,11/19/21,IL,,,,,,,,IL,E,N,F,,Legacy Java,Cloud ,IBM/Websphere,,
Resource 28,07/30/18,Engr,Mid,,Product 1,01/04/21,12/24/21,01/04/21,06/25/21,IL,Y,,Y,,,,,IL,E,N,M,Y,,,,,
Resource 29,08/17/18,PM,,,Product 8,03/28/21,12/24/21,03/28/21,12/24/21,TX,,,,,,,,AZ,E,Y,F,,Legacy Java,Cloud ,SiteMinder,,
Resource 30,08/20/18,Engr,Mid,,Product 2,01/24/21,12/24/21,01/24/21,12/24/21,AZ,,,,,,,,AZ,E,Y,M,,,Cloud ,,,
Resource 31,09/17/18,Engr,Mid,,Product 3,01/31/21,12/24/21,01/31/21,12/17/21,IL,Y,,,,,,,IL,E,N,M,N,Legacy Java,Cloud ,IBM/Websphere,Angular,
Resource 32,10/01/18,Engr,Mid,,Product 4,02/07/21,05/21/21,02/07/21,05/21/21,IL,,,,,,,,IL,E,Y,M,Y,.NET,Cloud ,,,
Resource 33,10/01/18,Engr,Mid,,Product 5,02/21/21,12/03/21,02/21/21,12/03/21,AZ,,,,,,,,AZ,E,N,M,,.NET,Cloud ,,,
Resource 34,10/08/18,Engr,Mid,,Product 6,02/28/21,12/17/21,02/28/21,12/17/21,AZ,,,,,,,,IL,E,Y,M,Y,,,,,
Resource 35,10/08/18,PM ,,,Product 9,04/05/21,12/31/21,04/05/21,12/31/21,IL,,,,,,,,IL,E,Y,F,,.NET,Cloud ,,,
Resource 36,10/08/18,PM,,,Product 10,02/12/21,12/24/21,02/12/21,12/24/21,AZ,,,,,,,,AZ,E,Y,F,,.NET,Cloud ,,,
Resource 37,10/15/18,PM,,,Product 11,03/01/21,10/29/21,03/01/21,10/29/21,TX,,,,,,,,AZ,E,N,F,,Mainframe,Cloud ,,,
